[01:00:06.300052380] (+0.000025047) 0 stack_usage: { pid = 6, func_ptr = 0x8014739, usage_bytes = 616 }
[01:00:06.300075047] (+0.000022667) 0 stack_usage: { pid = 6, func_ptr = 0x802BC1D, usage_bytes = 824 }
[01:00:06.300099047] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8017285, usage_bytes = 776 }
[01:00:06.300124857] (+0.000025810) 0 stack_usage: { pid = 6, func_ptr = 0x801A021, usage_bytes = 688 }
[01:00:06.300147428] (+0.000022571) 0 stack_usage: { pid = 6, func_ptr = 0x80281B9, usage_bytes = 712 }
[01:00:06.300172000] (+0.000024572) 0 stack_usage: { pid = 6, func_ptr = 0x8017285, usage_bytes = 672 }
[01:00:06.300196857] (+0.000024857) 0 stack_usage: { pid = 6, func_ptr = 0x802BC1D, usage_bytes = 728 }
[01:00:06.300220761] (+0.000023904) 0 stack_usage: { pid = 6, func_ptr = 0x801B34D, usage_bytes = 792 }
[01:00:06.300245523] (+0.000024762) 0 stack_usage: { pid = 6, func_ptr = 0x801A9B9, usage_bytes = 744 }
[01:00:06.301134571] (+0.000889048) 0 stack_usage: { pid = 6, func_ptr = 0x801969D, usage_bytes = 680 }
[01:00:06.311204095] (+0.010069524) 0 stack_usage: { pid = 6, func_ptr = 0x8017199, usage_bytes = 768 }
[01:00:06.311228095] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8015A31, usage_bytes = 848 }
[01:00:06.311253523] (+0.000025428) 0 stack_usage: { pid = 6, func_ptr = 0x80172D9, usage_bytes = 1008 }
[01:00:06.311278380] (+0.000024857) 0 stack_usage: { pid = 6, func_ptr = 0x8016FFD, usage_bytes = 1080 }
[01:00:06.311304095] (+0.000025715) 0 stack_usage: { pid = 6, func_ptr = 0x8015A31, usage_bytes = 1056 }
[01:00:06.311328190] (+0.000024095) 0 stack_usage: { pid = 6, func_ptr = 0x802B861, usage_bytes = 1024 }
[01:00:06.311353523] (+0.000025333) 0 stack_usage: { pid = 6, func_ptr = 0x802B941, usage_bytes = 664 }
[01:00:06.311418571] (+0.000065048) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 456 }
[01:00:06.311445047] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x8025561, usage_bytes = 456 }
[01:00:06.311470952] (+0.000025905) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 552 }
[01:00:06.311511333] (+0.000040381) 0 stack_usage: { pid = 6, func_ptr = 0x801A11D, usage_bytes = 608 }
[01:00:06.311539238] (+0.000027905) 0 stack_usage: { pid = 6, func_ptr = 0x801A11D, usage_bytes = 600 }
[01:00:06.399867809] (+0.088328571) 0 stack_usage: { pid = 6, func_ptr = 0x8024BCD, usage_bytes = 504 }
[01:00:06.399893714] (+0.000025905) 0 stack_usage: { pid = 6, func_ptr = 0x8025165, usage_bytes = 488 }
[01:00:06.399920190] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x8026221, usage_bytes = 544 }
