[01:00:00.000086761] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:12.304170000] (+0.000011905) 0 stack_usage: { pid = 7, func_ptr = 0x8022315, usage_bytes = 1576 }
[01:00:12.304181619] (+0.000011619) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1592 }
[01:00:12.304196952] (+0.000015333) 0 stack_usage: { pid = 7, func_ptr = 0x80245C5, usage_bytes = 1592 }
[01:00:12.304208952] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x802462D, usage_bytes = 1608 }
[01:00:12.304220571] (+0.000011619) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 1632 }
[01:00:12.304232571] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x8011D51, usage_bytes = 1624 }
[01:00:12.304248285] (+0.000015714) 0 stack_usage: { pid = 7, func_ptr = 0x8022195, usage_bytes = 1608 }
[01:00:12.304260000] (+0.000011715) 0 stack_usage: { pid = 7, func_ptr = 0x8024959, usage_bytes = 1640 }
[01:00:12.304271714] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 1672 }
[01:00:12.304283523] (+0.000011809) 0 stack_usage: { pid = 7, func_ptr = 0x80245F9, usage_bytes = 1688 }
[01:00:12.304295523] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x802CB81, usage_bytes = 1720 }
[01:00:12.304311714] (+0.000016191) 0 stack_usage: { pid = 7, func_ptr = 0x802CB81, usage_bytes = 1688 }
[01:00:12.304324571] (+0.000012857) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 1640 }
[01:00:12.304336666] (+0.000012095) 0 stack_usage: { pid = 7, func_ptr = 0x8021F09, usage_bytes = 1632 }
[01:00:12.304348190] (+0.000011524) 0 stack_usage: { pid = 7, func_ptr = 0x8021DB1, usage_bytes = 1688 }
[01:00:12.304359809] (+0.000011619) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 1720 }
[01:00:12.304372190] (+0.000012381) 0 stack_usage: { pid = 7, func_ptr = 0x80245F9, usage_bytes = 1704 }
[01:00:12.304384285] (+0.000012095) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 1720 }
[01:00:12.304396285] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x8021BE5, usage_bytes = 1712 }
[01:00:12.304408000] (+0.000011715) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 1744 }
[01:00:12.304420190] (+0.000012190) 0 stack_usage: { pid = 7, func_ptr = 0x80247AD, usage_bytes = 1736 }
[01:00:12.304433047] (+0.000012857) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 1720 }
[01:00:12.304444952] (+0.000011905) 0 stack_usage: { pid = 7, func_ptr = 0x80245F9, usage_bytes = 1736 }
[01:00:12.304456952] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x802CB81, usage_bytes = 1768 }
[01:00:12.304469714] (+0.000012762) 0 stack_usage: { pid = 7, func_ptr = 0x80249ED, usage_bytes = 2768 }
[01:00:12.304481428] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x80248A5, usage_bytes = 2800 }
[01:00:12.304493238] (+0.000011810) 0 stack_usage: { pid = 7, func_ptr = 0x80245F9, usage_bytes = 2816 }
[01:00:12.304505238] (+0.000012000) 0 stack_usage: { pid = 7, func_ptr = 0x802CB81, usage_bytes = 2848 }
[01:00:12.304518095] (+0.000012857) 0 stack_usage: { pid = 7, func_ptr = 0x80154F9, usage_bytes = 2816 }
[01:00:12.304529809] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x801549D, usage_bytes = 2848 }
[01:00:12.304568571] (+0.000038762) 0 stack_usage: { pid = 7, func_ptr = 0x80128FD, usage_bytes = 7920 }
[01:00:12.304580285] (+0.000011714) 0 stack_usage: { pid = 7, func_ptr = 0x801233D, usage_bytes = 7944 }
[01:00:12.304599238] (+0.000018953) 0 stack_usage: { pid = 7, func_ptr = 0x801233D, usage_bytes = 7944 }
[01:00:12.304732380] (+0.000133142) 0 stack_usage: { pid = 7, func_ptr = 0x800F281, usage_bytes = 1592 }
[01:00:12.304744190] (+0.000011810) 0 stack_usage: { pid = 7, func_ptr = 0x8011D29, usage_bytes = 1608 }
[01:00:12.304758857] (+0.000014667) 0 stack_usage: { pid = 7, func_ptr = 0x8024725, usage_bytes = 1600 }
[01:00:12.304770666] (+0.000011809) 0 stack_usage: { pid = 7, func_ptr = 0x8011C35, usage_bytes = 1624 }
[01:00:12.304782476] (+0.000011810) 0 stack_usage: { pid = 7, func_ptr = 0x8011D29, usage_bytes = 1616 }
