[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:07.899402761] (+0.000029619) 0 stack_usage: { pid = 6, func_ptr = 0x8032CF1, usage_bytes = 1856 }
[01:00:07.899435619] (+0.000032858) 0 stack_usage: { pid = 6, func_ptr = 0x8013A89, usage_bytes = 1784 }
[01:00:07.899464380] (+0.000028761) 0 stack_usage: { pid = 6, func_ptr = 0x80167F9, usage_bytes = 1720 }
[01:00:07.899490857] (+0.000026477) 0 stack_usage: { pid = 6, func_ptr = 0x8015649, usage_bytes = 1784 }
[01:00:07.899523428] (+0.000032571) 0 stack_usage: { pid = 6, func_ptr = 0x802EEF1, usage_bytes = 1784 }
[01:00:07.899555047] (+0.000031619) 0 stack_usage: { pid = 6, func_ptr = 0x8015649, usage_bytes = 1816 }
[01:00:07.899584476] (+0.000029429) 0 stack_usage: { pid = 6, func_ptr = 0x80321F5, usage_bytes = 1136 }
[01:00:07.899617142] (+0.000032666) 0 stack_usage: { pid = 6, func_ptr = 0x801BC25, usage_bytes = 1192 }
[01:00:07.899645428] (+0.000028286) 0 stack_usage: { pid = 6, func_ptr = 0x8019E71, usage_bytes = 1208 }
[01:00:07.899670857] (+0.000025429) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899700761] (+0.000029904) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899726000] (+0.000025239) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899751238] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899781714] (+0.000030476) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899806857] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899832095] (+0.000025238) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1208 }
[01:00:07.899862761] (+0.000030666) 0 stack_usage: { pid = 6, func_ptr = 0x8019CB9, usage_bytes = 1208 }
[01:00:07.899912380] (+0.000049619) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.899937523] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.899967238] (+0.000029715) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
[01:00:07.899992380] (+0.000025142) 0 stack_usage: { pid = 6, func_ptr = 0x8019BD1, usage_bytes = 1208 }
