[01:00:23.990221333] (+0.000016095) 0 function_usage: { pid = 7, func_ptr = 0x8009AC1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990233809] (+0.000012476) 0 function_usage: { pid = 7, func_ptr = 0x8009AC1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990246285] (+0.000012476) 0 function_usage: { pid = 7, func_ptr = 0x8009B15, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990258857] (+0.000012572) 0 function_usage: { pid = 7, func_ptr = 0x8009BF9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990272761] (+0.000013904) 0 function_usage: { pid = 7, func_ptr = 0x8009BF9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990285428] (+0.000012667) 0 function_usage: { pid = 7, func_ptr = 0x8009E75, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990299523] (+0.000014095) 0 function_usage: { pid = 7, func_ptr = 0x8009E75, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990312190] (+0.000012667) 0 function_usage: { pid = 7, func_ptr = 0x800A085, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990324952] (+0.000012762) 0 function_usage: { pid = 7, func_ptr = 0x800A085, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990337523] (+0.000012571) 0 function_usage: { pid = 7, func_ptr = 0x80099B1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990349904] (+0.000012381) 0 function_usage: { pid = 7, func_ptr = 0x8009905, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990362380] (+0.000012476) 0 function_usage: { pid = 7, func_ptr = 0x8009905, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990374857] (+0.000012477) 0 function_usage: { pid = 7, func_ptr = 0x8009955, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:23.990387238] (+0.000012381) 0 function_usage: { pid = 7, func_ptr = 0x8009955, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990399523] (+0.000012285) 0 function_usage: { pid = 7, func_ptr = 0x80099B1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:23.990412380] (+0.000012857) 0 function_usage: { pid = 7, func_ptr = 0x8009B15, fe = ( "FUNCTION_ENTER" : container = 0 ) }
